Ch_no,Ch_incipit (T32n1687),Skt_GRETIL_bsa045_no,Skt_incipit,Tib/Tsongkhapa_no,Quality,Note
1,依諸經律祕密教 略出承事師儀軌,v1,natvā yathāvidhi guroścaraṇāravindam,v1,Maṅgala verse; 7-char lines both sides; bahutantragītā→依諸經律祕密教; saṃkṣipya kathyata→略出; śṛṇutādareṇa→聞已愛樂
2,若於灌頂師 三時伸禮奉,v2,abhiṣekāgralabdho hi vajrācāryas tathāgataiḥ,v2,Full; direction inverted: Skt = Buddhas worship the guru thrice daily; Ch = disciple's thrice-daily service equals offering to Buddhas of ten directions
3,起最上恭敬 合掌以持花,v3,trikālaṃ parayā bhaktyā sapuṣpāñjalimaṇḍalaiḥ,v3,Full; flowers in joined palms scattered on maṇḍala; head-to-feet prostration
4,彼師或在家 及新受具戒,v4,saddharmādīn puraskṛtya gṛhī vā navako 'pi vā,v4,Full; householder/newly ordained guru; dharma-texts and images placed before him to avert worldly blame (lokāvadyāvahānaye → 息諸疑謗)
5,若出家弟子 常淨心承事,v5,sukhāsanaṃ samutthānam arthakriyādigauravam,v5,Full; all services except prostration (tyaktvā cārcana-vandanam → 唯除於致禮)
6,彼師及弟子 當互審其器,v6,prāk śiṣyācāryasaṃbandhaḥ kāryaḥ parīkṣya sūribhiḥ,v6,Full; mutual examination before bond; both incur fault (越法罪) if unexamined
7,若忿恚無慈 貪愛多散亂,v7,niṣkṛpaṃ krodhanaṃ krūraṃ stabdhaṃ laghum asaṃyatam / svotkarṣakaṃ...,v7,Full; REFUTES A05 hypothesis that this verse lacks Skt counterpart: niṣkṛpa=無慈 krodhana=忿恚 asaṃyata≈散亂 svotkarṣaka=慠易(恃種族); Tib v7 具慧弟子不應從無有悲愍而忿毒 confirms same slot
8,具戒忍悲智 尊重無諂曲,v8,dhīro vinīto matimān kṣamāvān ārjavaḥ... / mantratantraprayogajñaḥ kṛpāluḥ śāstrakovidaḥ,v8,Full; positive guru qualities part 1 (Tib vv.8-9 quote matches)
9,善達真言相 曼挐羅事業,v9,daśatattvaparijñātā maṇḍalālekhyakarmavit / mantra-vyākhyākṛd ācāryaḥ prasannaḥ syāj jitendriyaḥ,v9,Full; ten realities=十真如; maṇḍala work=曼挐羅事業; jitendriya=諸根悉清淨
10,若彼求法者 於師生輕毀,v10,taṃ nāthaṃ yo 'vamanyeta śiṣyo bhūtvā sacetanaḥ / sarvabuddhāpamānena...,v10,Full; despising guru = reviling all Buddhas; constant suffering
